,buying,maint,doors,persons,lug_boot,safety,class
163,3,0,2,0,2,2,1
164,3,0,2,0,2,0,1
165,3,0,2,0,1,1,1
166,3,0,2,0,1,2,1
167,3,0,2,0,1,0,1
168,3,0,2,0,0,1,1
169,3,0,2,0,0,2,1
170,3,0,2,0,0,0,1
171,3,0,2,1,2,1,1
172,3,0,2,1,2,2,1
173,3,0,2,1,2,0,1
174,3,0,2,1,1,1,1
175,3,0,2,1,1,2,1
176,3,0,2,1,1,0,1
177,3,0,2,1,0,1,1
178,3,0,2,1,0,2,1
179,3,0,2,1,0,0,1
180,3,0,2,2,2,1,1
181,3,0,2,2,2,2,1
182,3,0,2,2,2,0,1
183,3,0,2,2,1,1,1
184,3,0,2,2,1,2,1
185,3,0,2,2,1,0,1
186,3,0,2,2,0,1,1
187,3,0,2,2,0,2,1
188,3,0,2,2,0,0,1
189,3,0,3,0,2,1,1
190,3,0,3,0,2,2,1
191,3,0,3,0,2,0,1
192,3,0,3,0,1,1,1
193,3,0,3,0,1,2,1
194,3,0,3,0,1,0,1
195,3,0,3,0,0,1,1
196,3,0,3,0,0,2,1
197,3,0,3,0,0,0,1
198,3,0,3,1,2,1,1
199,3,0,3,1,2,2,1
200,3,0,3,1,2,0,1
201,3,0,3,1,1,1,1
202,3,0,3,1,1,2,1
203,3,0,3,1,1,0,1
204,3,0,3,1,0,1,1
205,3,0,3,1,0,2,1
206,3,0,3,1,0,0,1
207,3,0,3,2,2,1,1
208,3,0,3,2,2,2,1
209,3,0,3,2,2,0,1
210,3,0,3,2,1,1,1
211,3,0,3,2,1,2,1
212,3,0,3,2,1,0,1
213,3,0,3,2,0,1,1
214,3,0,3,2,0,2,1
215,3,0,3,2,0,0,1
216,3,2,0,0,2,1,1
217,3,2,0,0,2,2,1
218,3,2,0,0,2,0,1
219,3,2,0,0,1,1,1
220,3,2,0,0,1,2,1
221,3,2,0,0,1,0,1
222,3,2,0,0,0,1,1
223,3,2,0,0,0,2,1
224,3,2,0,0,0,0,1
225,3,2,0,1,2,1,1
226,3,2,0,1,2,2,1
227,3,2,0,1,2,0,0
228,3,2,0,1,1,1,1
229,3,2,0,1,1,2,1
230,3,2,0,1,1,0,0
231,3,2,0,1,0,1,1
232,3,2,0,1,0,2,0
233,3,2,0,1,0,0,0
234,3,2,0,2,2,1,1
235,3,2,0,2,2,2,1
236,3,2,0,2,2,0,1
237,3,2,0,2,1,1,1
238,3,2,0,2,1,2,1
239,3,2,0,2,1,0,0
240,3,2,0,2,0,1,1
241,3,2,0,2,0,2,0
242,3,2,0,2,0,0,0
243,3,2,1,0,2,1,1
244,3,2,1,0,2,2,1
245,3,2,1,0,2,0,1
246,3,2,1,0,1,1,1
247,3,2,1,0,1,2,1
248,3,2,1,0,1,0,1
249,3,2,1,0,0,1,1
250,3,2,1,0,0,2,1
251,3,2,1,0,0,0,1
252,3,2,1,1,2,1,1
253,3,2,1,1,2,2,1
254,3,2,1,1,2,0,0
255,3,2,1,1,1,1,1
256,3,2,1,1,1,2,1
257,3,2,1,1,1,0,0
258,3,2,1,1,0,1,1
259,3,2,1,1,0,2,0
260,3,2,1,1,0,0,0
261,3,2,1,2,2,1,1
262,3,2,1,2,2,2,1
263,3,2,1,2,2,0,0
264,3,2,1,2,1,1,1
265,3,2,1,2,1,2,0
266,3,2,1,2,1,0,0
267,3,2,1,2,0,1,1
268,3,2,1,2,0,2,0
269,3,2,1,2,0,0,0
270,3,2,2,0,2,1,1
271,3,2,2,0,2,2,1
272,3,2,2,0,2,0,1
273,3,2,2,0,1,1,1
274,3,2,2,0,1,2,1
275,3,2,2,0,1,0,1
276,3,2,2,0,0,1,1
277,3,2,2,0,0,2,1
278,3,2,2,0,0,0,1
279,3,2,2,1,2,1,1
280,3,2,2,1,2,2,1
281,3,2,2,1,2,0,0
282,3,2,2,1,1,1,1
283,3,2,2,1,1,2,0
284,3,2,2,1,1,0,0
285,3,2,2,1,0,1,1
286,3,2,2,1,0,2,0
287,3,2,2,1,0,0,0
288,3,2,2,2,2,1,1
289,3,2,2,2,2,2,1
290,3,2,2,2,2,0,0
291,3,2,2,2,1,1,1
292,3,2,2,2,1,2,0
293,3,2,2,2,1,0,0
294,3,2,2,2,0,1,1
295,3,2,2,2,0,2,0
296,3,2,2,2,0,0,0
297,3,2,3,0,2,1,1
298,3,2,3,0,2,2,1
299,3,2,3,0,2,0,1
300,3,2,3,0,1,1,1
301,3,2,3,0,1,2,1
302,3,2,3,0,1,0,1
303,3,2,3,0,0,1,1
304,3,2,3,0,0,2,1
305,3,2,3,0,0,0,1
306,3,2,3,1,2,1,1
307,3,2,3,1,2,2,1
308,3,2,3,1,2,0,0
309,3,2,3,1,1,1,1
310,3,2,3,1,1,2,0
311,3,2,3,1,1,0,0
312,3,2,3,1,0,1,1
313,3,2,3,1,0,2,0
314,3,2,3,1,0,0,0
315,3,2,3,2,2,1,1
316,3,2,3,2,2,2,1
317,3,2,3,2,2,0,0
318,3,2,3,2,1,1,1
319,3,2,3,2,1,2,0
320,3,2,3,2,1,0,0
321,3,2,3,2,0,1,1
322,3,2,3,2,0,2,0
323,3,2,3,2,0,0,0
324,3,1,0,0,2,1,1
325,3,1,0,0,2,2,1
326,3,1,0,0,2,0,1
327,3,1,0,0,1,1,1
328,3,1,0,0,1,2,1
329,3,1,0,0,1,0,1
330,3,1,0,0,0,1,1
331,3,1,0,0,0,2,1
332,3,1,0,0,0,0,1
333,3,1,0,1,2,1,1
334,3,1,0,1,2,2,1
335,3,1,0,1,2,0,0
336,3,1,0,1,1,1,1
337,3,1,0,1,1,2,1
338,3,1,0,1,1,0,0
339,3,1,0,1,0,1,1
340,3,1,0,1,0,2,0
341,3,1,0,1,0,0,0
342,3,1,0,2,2,1,1
343,3,1,0,2,2,2,1
344,3,1,0,2,2,0,1
345,3,1,0,2,1,1,1
346,3,1,0,2,1,2,1
347,3,1,0,2,1,0,0
348,3,1,0,2,0,1,1
349,3,1,0,2,0,2,0
350,3,1,0,2,0,0,0
351,3,1,1,0,2,1,1
352,3,1,1,0,2,2,1
353,3,1,1,0,2,0,1
354,3,1,1,0,1,1,1
355,3,1,1,0,1,2,1
356,3,1,1,0,1,0,1
357,3,1,1,0,0,1,1
358,3,1,1,0,0,2,1
359,3,1,1,0,0,0,1
360,3,1,1,1,2,1,1
361,3,1,1,1,2,2,1
362,3,1,1,1,2,0,0
363,3,1,1,1,1,1,1
364,3,1,1,1,1,2,1
365,3,1,1,1,1,0,0
366,3,1,1,1,0,1,1
367,3,1,1,1,0,2,0
368,3,1,1,1,0,0,0
369,3,1,1,2,2,1,1
370,3,1,1,2,2,2,1
371,3,1,1,2,2,0,0
372,3,1,1,2,1,1,1
373,3,1,1,2,1,2,0
374,3,1,1,2,1,0,0
375,3,1,1,2,0,1,1
376,3,1,1,2,0,2,0
377,3,1,1,2,0,0,0
378,3,1,2,0,2,1,1
379,3,1,2,0,2,2,1
380,3,1,2,0,2,0,1
381,3,1,2,0,1,1,1
382,3,1,2,0,1,2,1
383,3,1,2,0,1,0,1
384,3,1,2,0,0,1,1
385,3,1,2,0,0,2,1
386,3,1,2,0,0,0,1
387,3,1,2,1,2,1,1
388,3,1,2,1,2,2,1
389,3,1,2,1,2,0,0
390,3,1,2,1,1,1,1
391,3,1,2,1,1,2,0
392,3,1,2,1,1,0,0
393,3,1,2,1,0,1,1
394,3,1,2,1,0,2,0
395,3,1,2,1,0,0,0
396,3,1,2,2,2,1,1
397,3,1,2,2,2,2,1
398,3,1,2,2,2,0,0
399,3,1,2,2,1,1,1
400,3,1,2,2,1,2,0
401,3,1,2,2,1,0,0
402,3,1,2,2,0,1,1
403,3,1,2,2,0,2,0
404,3,1,2,2,0,0,0
405,3,1,3,0,2,1,1
406,3,1,3,0,2,2,1
407,3,1,3,0,2,0,1
408,3,1,3,0,1,1,1
409,3,1,3,0,1,2,1
410,3,1,3,0,1,0,1
411,3,1,3,0,0,1,1
412,3,1,3,0,0,2,1
413,3,1,3,0,0,0,1
414,3,1,3,1,2,1,1
415,3,1,3,1,2,2,1
416,3,1,3,1,2,0,0
417,3,1,3,1,1,1,1
418,3,1,3,1,1,2,0
419,3,1,3,1,1,0,0
420,3,1,3,1,0,1,1
421,3,1,3,1,0,2,0
422,3,1,3,1,0,0,0
423,3,1,3,2,2,1,1
424,3,1,3,2,2,2,1
425,3,1,3,2,2,0,0
426,3,1,3,2,1,1,1
427,3,1,3,2,1,2,0
428,3,1,3,2,1,0,0
429,3,1,3,2,0,1,1
430,3,1,3,2,0,2,0
431,3,1,3,2,0,0,0
432,0,3,0,0,2,1,1
433,0,3,0,0,2,2,1
434,0,3,0,0,2,0,1
435,0,3,0,0,1,1,1
436,0,3,0,0,1,2,1
437,0,3,0,0,1,0,1
438,0,3,0,0,0,1,1
439,0,3,0,0,0,2,1
440,0,3,0,0,0,0,1
441,0,3,0,1,2,1,1
442,0,3,0,1,2,2,1
443,0,3,0,1,2,0,1
444,0,3,0,1,1,1,1
445,0,3,0,1,1,2,1
446,0,3,0,1,1,0,1
447,0,3,0,1,0,1,1
448,0,3,0,1,0,2,1
449,0,3,0,1,0,0,1
450,0,3,0,2,2,1,1
451,0,3,0,2,2,2,1
452,0,3,0,2,2,0,1
453,0,3,0,2,1,1,1
454,0,3,0,2,1,2,1
455,0,3,0,2,1,0,1
456,0,3,0,2,0,1,1
457,0,3,0,2,0,2,1
458,0,3,0,2,0,0,1
459,0,3,1,0,2,1,1
460,0,3,1,0,2,2,1
461,0,3,1,0,2,0,1
462,0,3,1,0,1,1,1
463,0,3,1,0,1,2,1
464,0,3,1,0,1,0,1
465,0,3,1,0,0,1,1
466,0,3,1,0,0,2,1
467,0,3,1,0,0,0,1
468,0,3,1,1,2,1,1
469,0,3,1,1,2,2,1
470,0,3,1,1,2,0,1
471,0,3,1,1,1,1,1
472,0,3,1,1,1,2,1
473,0,3,1,1,1,0,1
474,0,3,1,1,0,1,1
475,0,3,1,1,0,2,1
476,0,3,1,1,0,0,1
477,0,3,1,2,2,1,1
478,0,3,1,2,2,2,1
479,0,3,1,2,2,0,1
480,0,3,1,2,1,1,1
481,0,3,1,2,1,2,1
482,0,3,1,2,1,0,1
483,0,3,1,2,0,1,1
484,0,3,1,2,0,2,1
485,0,3,1,2,0,0,1
486,0,3,2,0,2,1,1
487,0,3,2,0,2,2,1
488,0,3,2,0,2,0,1
489,0,3,2,0,1,1,1
490,0,3,2,0,1,2,1
491,0,3,2,0,1,0,1
492,0,3,2,0,0,1,1
493,0,3,2,0,0,2,1
494,0,3,2,0,0,0,1
495,0,3,2,1,2,1,1
496,0,3,2,1,2,2,1
497,0,3,2,1,2,0,1
498,0,3,2,1,1,1,1
499,0,3,2,1,1,2,1
500,0,3,2,1,1,0,1
501,0,3,2,1,0,1,1
502,0,3,2,1,0,2,1
503,0,3,2,1,0,0,1
504,0,3,2,2,2,1,1
505,0,3,2,2,2,2,1
506,0,3,2,2,2,0,1
507,0,3,2,2,1,1,1
508,0,3,2,2,1,2,1
509,0,3,2,2,1,0,1
510,0,3,2,2,0,1,1
511,0,3,2,2,0,2,1
512,0,3,2,2,0,0,1
513,0,3,3,0,2,1,1
514,0,3,3,0,2,2,1
515,0,3,3,0,2,0,1
516,0,3,3,0,1,1,1
517,0,3,3,0,1,2,1
518,0,3,3,0,1,0,1
519,0,3,3,0,0,1,1
520,0,3,3,0,0,2,1
521,0,3,3,0,0,0,1
522,0,3,3,1,2,1,1
523,0,3,3,1,2,2,1
524,0,3,3,1,2,0,1
525,0,3,3,1,1,1,1
526,0,3,3,1,1,2,1
527,0,3,3,1,1,0,1
528,0,3,3,1,0,1,1
529,0,3,3,1,0,2,1
530,0,3,3,1,0,0,1
531,0,3,3,2,2,1,1
532,0,3,3,2,2,2,1
533,0,3,3,2,2,0,1
534,0,3,3,2,1,1,1
535,0,3,3,2,1,2,1
536,0,3,3,2,1,0,1
537,0,3,3,2,0,1,1
538,0,3,3,2,0,2,1
539,0,3,3,2,0,0,1
540,0,0,0,0,2,1,1
541,0,0,0,0,2,2,1
542,0,0,0,0,2,0,1
543,0,0,0,0,1,1,1
544,0,0,0,0,1,2,1
545,0,0,0,0,1,0,1
546,0,0,0,0,0,1,1
547,0,0,0,0,0,2,1
548,0,0,0,0,0,0,1
549,0,0,0,1,2,1,1
550,0,0,0,1,2,2,1
551,0,0,0,1,2,0,0
552,0,0,0,1,1,1,1
553,0,0,0,1,1,2,1
554,0,0,0,1,1,0,0
555,0,0,0,1,0,1,1
556,0,0,0,1,0,2,0
557,0,0,0,1,0,0,0
558,0,0,0,2,2,1,1
559,0,0,0,2,2,2,1
560,0,0,0,2,2,0,1
561,0,0,0,2,1,1,1
562,0,0,0,2,1,2,1
563,0,0,0,2,1,0,0
564,0,0,0,2,0,1,1
565,0,0,0,2,0,2,0
566,0,0,0,2,0,0,0
567,0,0,1,0,2,1,1
568,0,0,1,0,2,2,1
569,0,0,1,0,2,0,1
570,0,0,1,0,1,1,1
571,0,0,1,0,1,2,1
572,0,0,1,0,1,0,1
573,0,0,1,0,0,1,1
574,0,0,1,0,0,2,1
575,0,0,1,0,0,0,1
576,0,0,1,1,2,1,1
577,0,0,1,1,2,2,1
578,0,0,1,1,2,0,0
579,0,0,1,1,1,1,1
580,0,0,1,1,1,2,1
581,0,0,1,1,1,0,0
582,0,0,1,1,0,1,1
583,0,0,1,1,0,2,0
584,0,0,1,1,0,0,0
585,0,0,1,2,2,1,1
586,0,0,1,2,2,2,1
587,0,0,1,2,2,0,0
588,0,0,1,2,1,1,1
589,0,0,1,2,1,2,0
590,0,0,1,2,1,0,0
591,0,0,1,2,0,1,1
592,0,0,1,2,0,2,0
593,0,0,1,2,0,0,0
594,0,0,2,0,2,1,1
595,0,0,2,0,2,2,1
596,0,0,2,0,2,0,1
597,0,0,2,0,1,1,1
598,0,0,2,0,1,2,1
599,0,0,2,0,1,0,1
600,0,0,2,0,0,1,1
601,0,0,2,0,0,2,1
602,0,0,2,0,0,0,1
603,0,0,2,1,2,1,1
604,0,0,2,1,2,2,1
605,0,0,2,1,2,0,0
606,0,0,2,1,1,1,1
607,0,0,2,1,1,2,0
608,0,0,2,1,1,0,0
609,0,0,2,1,0,1,1
610,0,0,2,1,0,2,0
611,0,0,2,1,0,0,0
612,0,0,2,2,2,1,1
613,0,0,2,2,2,2,1
614,0,0,2,2,2,0,0
615,0,0,2,2,1,1,1
616,0,0,2,2,1,2,0
617,0,0,2,2,1,0,0
618,0,0,2,2,0,1,1
619,0,0,2,2,0,2,0
620,0,0,2,2,0,0,0
621,0,0,3,0,2,1,1
622,0,0,3,0,2,2,1
623,0,0,3,0,2,0,1
624,0,0,3,0,1,1,1
625,0,0,3,0,1,2,1
626,0,0,3,0,1,0,1
627,0,0,3,0,0,1,1
628,0,0,3,0,0,2,1
629,0,0,3,0,0,0,1
630,0,0,3,1,2,1,1
631,0,0,3,1,2,2,1
632,0,0,3,1,2,0,0
633,0,0,3,1,1,1,1
634,0,0,3,1,1,2,0
635,0,0,3,1,1,0,0
636,0,0,3,1,0,1,1
637,0,0,3,1,0,2,0
638,0,0,3,1,0,0,0
639,0,0,3,2,2,1,1
640,0,0,3,2,2,2,1
641,0,0,3,2,2,0,0
642,0,0,3,2,1,1,1
643,0,0,3,2,1,2,0
644,0,0,3,2,1,0,0
645,0,0,3,2,0,1,1
646,0,0,3,2,0,2,0
647,0,0,3,2,0,0,0
648,0,2,0,0,2,1,1
649,0,2,0,0,2,2,1
650,0,2,0,0,2,0,1
651,0,2,0,0,1,1,1
652,0,2,0,0,1,2,1
653,0,2,0,0,1,0,1
654,0,2,0,0,0,1,1
655,0,2,0,0,0,2,1
656,0,2,0,0,0,0,1
657,0,2,0,1,2,1,1
658,0,2,0,1,2,2,1
659,0,2,0,1,2,0,0
660,0,2,0,1,1,1,1
661,0,2,0,1,1,2,1
662,0,2,0,1,1,0,0
663,0,2,0,1,0,1,1
664,0,2,0,1,0,2,0
665,0,2,0,1,0,0,0
666,0,2,0,2,2,1,1
667,0,2,0,2,2,2,1
668,0,2,0,2,2,0,1
669,0,2,0,2,1,1,1
670,0,2,0,2,1,2,1
671,0,2,0,2,1,0,0
672,0,2,0,2,0,1,1
673,0,2,0,2,0,2,0
674,0,2,0,2,0,0,0
675,0,2,1,0,2,1,1
676,0,2,1,0,2,2,1
677,0,2,1,0,2,0,1
678,0,2,1,0,1,1,1
679,0,2,1,0,1,2,1
680,0,2,1,0,1,0,1
681,0,2,1,0,0,1,1
682,0,2,1,0,0,2,1
683,0,2,1,0,0,0,1
684,0,2,1,1,2,1,1
685,0,2,1,1,2,2,1
686,0,2,1,1,2,0,0
687,0,2,1,1,1,1,1
688,0,2,1,1,1,2,1
689,0,2,1,1,1,0,0
690,0,2,1,1,0,1,1
691,0,2,1,1,0,2,0
692,0,2,1,1,0,0,0
693,0,2,1,2,2,1,1
694,0,2,1,2,2,2,1
695,0,2,1,2,2,0,0
696,0,2,1,2,1,1,1
697,0,2,1,2,1,2,0
698,0,2,1,2,1,0,0
699,0,2,1,2,0,1,1
700,0,2,1,2,0,2,0
701,0,2,1,2,0,0,0
702,0,2,2,0,2,1,1
703,0,2,2,0,2,2,1
704,0,2,2,0,2,0,1
705,0,2,2,0,1,1,1
706,0,2,2,0,1,2,1
707,0,2,2,0,1,0,1
708,0,2,2,0,0,1,1
709,0,2,2,0,0,2,1
710,0,2,2,0,0,0,1
711,0,2,2,1,2,1,1
712,0,2,2,1,2,2,1
713,0,2,2,1,2,0,0
714,0,2,2,1,1,1,1
715,0,2,2,1,1,2,0
716,0,2,2,1,1,0,0
717,0,2,2,1,0,1,1
718,0,2,2,1,0,2,0
719,0,2,2,1,0,0,0
720,0,2,2,2,2,1,1
721,0,2,2,2,2,2,1
722,0,2,2,2,2,0,0
723,0,2,2,2,1,1,1
724,0,2,2,2,1,2,0
725,0,2,2,2,1,0,0
726,0,2,2,2,0,1,1
727,0,2,2,2,0,2,0
728,0,2,2,2,0,0,0
729,0,2,3,0,2,1,1
730,0,2,3,0,2,2,1
731,0,2,3,0,2,0,1
732,0,2,3,0,1,1,1
733,0,2,3,0,1,2,1
734,0,2,3,0,1,0,1
735,0,2,3,0,0,1,1
736,0,2,3,0,0,2,1
737,0,2,3,0,0,0,1
738,0,2,3,1,2,1,1
739,0,2,3,1,2,2,1
740,0,2,3,1,2,0,0
741,0,2,3,1,1,1,1
742,0,2,3,1,1,2,0
743,0,2,3,1,1,0,0
744,0,2,3,1,0,1,1
745,0,2,3,1,0,2,0
746,0,2,3,1,0,0,0
747,0,2,3,2,2,1,1
748,0,2,3,2,2,2,1
749,0,2,3,2,2,0,0
750,0,2,3,2,1,1,1
751,0,2,3,2,1,2,0
752,0,2,3,2,1,0,0
753,0,2,3,2,0,1,1
754,0,2,3,2,0,2,0
755,0,2,3,2,0,0,0
756,0,1,0,0,2,1,1
757,0,1,0,0,2,2,1
758,0,1,0,0,2,0,1
759,0,1,0,0,1,1,1
760,0,1,0,0,1,2,1
761,0,1,0,0,1,0,1
762,0,1,0,0,0,1,1
763,0,1,0,0,0,2,1
764,0,1,0,0,0,0,1
765,0,1,0,1,2,1,1
766,0,1,0,1,2,2,1
767,0,1,0,1,2,0,0
768,0,1,0,1,1,1,1
769,0,1,0,1,1,2,1
770,0,1,0,1,1,0,0
771,0,1,0,1,0,1,1
772,0,1,0,1,0,2,0
773,0,1,0,1,0,0,0
774,0,1,0,2,2,1,1
775,0,1,0,2,2,2,1
776,0,1,0,2,2,0,1
777,0,1,0,2,1,1,1
778,0,1,0,2,1,2,1
779,0,1,0,2,1,0,0
780,0,1,0,2,0,1,1
781,0,1,0,2,0,2,0
782,0,1,0,2,0,0,0
783,0,1,1,0,2,1,1
784,0,1,1,0,2,2,1
785,0,1,1,0,2,0,1
786,0,1,1,0,1,1,1
787,0,1,1,0,1,2,1
788,0,1,1,0,1,0,1
789,0,1,1,0,0,1,1
790,0,1,1,0,0,2,1
791,0,1,1,0,0,0,1
792,0,1,1,1,2,1,1
793,0,1,1,1,2,2,1
794,0,1,1,1,2,0,0
795,0,1,1,1,1,1,1
796,0,1,1,1,1,2,1
797,0,1,1,1,1,0,0
798,0,1,1,1,0,1,1
799,0,1,1,1,0,2,0
800,0,1,1,1,0,0,0
801,0,1,1,2,2,1,1
802,0,1,1,2,2,2,1
803,0,1,1,2,2,0,0
804,0,1,1,2,1,1,1
805,0,1,1,2,1,2,0
806,0,1,1,2,1,0,0
807,0,1,1,2,0,1,1
808,0,1,1,2,0,2,0
809,0,1,1,2,0,0,0
810,0,1,2,0,2,1,1
811,0,1,2,0,2,2,1
812,0,1,2,0,2,0,1
813,0,1,2,0,1,1,1
814,0,1,2,0,1,2,1
815,0,1,2,0,1,0,1
816,0,1,2,0,0,1,1
817,0,1,2,0,0,2,1
818,0,1,2,0,0,0,1
819,0,1,2,1,2,1,1
820,0,1,2,1,2,2,1
821,0,1,2,1,2,0,0
822,0,1,2,1,1,1,1
823,0,1,2,1,1,2,0
824,0,1,2,1,1,0,0
825,0,1,2,1,0,1,1
826,0,1,2,1,0,2,0
827,0,1,2,1,0,0,0
828,0,1,2,2,2,1,1
829,0,1,2,2,2,2,1
830,0,1,2,2,2,0,0
831,0,1,2,2,1,1,1
832,0,1,2,2,1,2,0
833,0,1,2,2,1,0,0
834,0,1,2,2,0,1,1
835,0,1,2,2,0,2,0
836,0,1,2,2,0,0,0
837,0,1,3,0,2,1,1
838,0,1,3,0,2,2,1
839,0,1,3,0,2,0,1
840,0,1,3,0,1,1,1
841,0,1,3,0,1,2,1
842,0,1,3,0,1,0,1
843,0,1,3,0,0,1,1
844,0,1,3,0,0,2,1
845,0,1,3,0,0,0,1
846,0,1,3,1,2,1,1
847,0,1,3,1,2,2,1
848,0,1,3,1,2,0,0
849,0,1,3,1,1,1,1
850,0,1,3,1,1,2,0
851,0,1,3,1,1,0,0
852,0,1,3,1,0,1,1
853,0,1,3,1,0,2,0
854,0,1,3,1,0,0,0
855,0,1,3,2,2,1,1
856,0,1,3,2,2,2,1
857,0,1,3,2,2,0,0
858,0,1,3,2,1,1,1
859,0,1,3,2,1,2,0
860,0,1,3,2,1,0,0
861,0,1,3,2,0,1,1
862,0,1,3,2,0,2,0
863,0,1,3,2,0,0,0
864,2,3,0,0,2,1,1
865,2,3,0,0,2,2,1
866,2,3,0,0,2,0,1
867,2,3,0,0,1,1,1
868,2,3,0,0,1,2,1
869,2,3,0,0,1,0,1
870,2,3,0,0,0,1,1
871,2,3,0,0,0,2,1
